origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
CYYZ-MBPV,1.0426,1.1456
CYYZ-MDCY,1.0428,1.1025
CYYZ-MDPC,1.0402,1.0671
CYYZ-MDPP,1.0365,1.0902
CYYZ-MHRO,1.0573,1.1756
CYYZ-MKJP,1.03,1.0965
CYYZ-MKJS,1.0286,1.0951
CYYZ-MMBT,1.0505,1.2021
CYYZ-MMCZ,1.0594,1.2009
CYYZ-MMMX,1.0298,1.1892
CYYZ-MMPR,1.0241,1.1967
CYYZ-MMSD,1.0349,1.2365
CYYZ-MMUN,1.0721,1.1933
CYYZ-MPSM,1.0273,1.1059
CYYZ-MPTO,1.0336,1.1314
CYYZ-MRLB,1.0278,1.1302
CYYZ-MROC,1.0266,1.0742
CYYZ-MSLP,1.0428,1.1859
CYYZ-MUCC,1.0339,1.1236
CYYZ-MUHA,1.0208,1.21
CYYZ-MUHG,1.0421,1.1312
CYYZ-MUSC,1.0342,1.1317
CYYZ-MUVR,1.0241,1.1254
CYYZ-MWCR,1.0238,1.1451
CYYZ-MYNN,1.0341,1.1121
CYYZ-MZBZ,1.0522,1.1693
CYYZ-OMAA,1.0325,1.0297
CYYZ-OMDB,1.0308,1.0411
CYYZ-PANC,1.0135,1.0734
CYYZ-RCTP,1.019,1.1018
CYYZ-RJTT,1.0166,1.1189
CYYZ-RKSI,1.0232,1.1389
CYYZ-RPLL,1.0455,1.051
CYYZ-SBGR,1.0212,1.0819
CYYZ-SCEL,1.021,1.0925
CYYZ-SKBO,1.0246,1.071
CYYZ-SPJC,1.0232,1.0848
CYYZ-TAPA,1.0501,1.0926
CYYZ-TBPB,1.0375,1.0402
CYYZ-TGPY,1.0372,1.1444
CYYZ-TJSJ,1.0628,1.082
CYYZ-TLPL,1.039,1.1012
CYYZ-TNCA,1.0336,1.0965
CYYZ-TNCC,1.0364,1.1286
CYYZ-TNCM,1.0522,1.0468
CYYZ-TTPP,1.0293,1.0537
CYYZ-TVSA,1.0477,1.144
CYYZ-TXKF,1.0171,1.1023
CYYZ-UKBB,1.0357,1.0922
CYYZ-VHHH,1.0238,1.0629
CYYZ-VIDP,1.0874,1.0819
CYYZ-ZBAA,1.0312,1.1345
CYYZ-ZGGG,1.0313,1.087
CYYZ-ZSPD,1.0245,1.1107
CZMT-CYVR,1.0371,1.0479
DAAE-LFLL,1.0175,0.9994
DAAE-LFML,1.0204,1.0074
DAAE-LFPO,1.0492,1.0924
DAAG-CYUL,1.0369,1.1944
DAAG-DAOF,1.0327,1.1375
DAAG-DAON,1.0274,1.1212
DAAG-DAOO,1.0202,1.1495
DAAG-DAOR,1.053,1.1462
DAAG-DAUA,1.0347,1.0944
DAAG-DIAP,1.0065,1.024
DAAG-DTTA,1.0242,1.0871
DAAG-EBBR,1.0881,1.0941
DAAG-EBCI,1.0942,1.1011
DAAG-EDDF,1.0677,1.0987
DAAG-EGKK,1.0772,1.1503
DAAG-EGLL,1.0713,1.1293
DAAG-GABS,1.0233,1.0906
DAAG-GMMN,1.0357,1.1227
DAAG-GOBD,1.0206,1.1159
DAAG-GQNO,1.017,1.1214
DAAG-HECA,1.0253,0.9842
DAAG-LEAL,1.1026,1.2362
DAAG-LEBL,1.1588,1.231
DAAG-LEMD,1.0728,1.1297
DAAG-LEMG,1.1275,1.1744
DAAG-LEVC,1.0928,1.1288
DAAG-LFBD,1.0562,1.0919
DAAG-LFBO,1.066,1.0997
DAAG-LFJL,1.0592,1.0454
DAAG-LFLL,1.0207,1.0347
DAAG-LFML,1.0189,1.0228
DAAG-LFMN,1.1036,1.0641
DAAG-LFMT,1.1295,1.1202
DAAG-LFPG,1.0921,1.1134
DAAG-LFPO,1.0724,1.1129
DAAG-LFQQ,1.0406,1.0567
DAAG-LFRS,1.0329,1.0671
DAAG-LFST,1.0617,1.0677
DAAG-LIMC,1.0223,1.0031
DAAG-LIRF,1.0612,1.0362
DAAG-LOWW,1.0467,0.9952
DAAG-LPPT,1.1023,1.1528
DAAG-LSGG,1.0787,1.0398
DAAG-LTAI,1.0281,0.9604
DAAG-LTBA,1.0609,1.0211
DAAG-LTFM,1.0547,1.0217
DAAG-OEJN,1.0332,0.9524
